time,device_id,device_name,capability,attribute,current_value,is_changed,Attacked
2019-04-22 10:40:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 10:45:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 10:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 10:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 10:50:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 10:52:34,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,temperatureMeasurement,temperature,69,TRUE,
2019-04-22 10:55:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:00:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:03:50,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,temperatureMeasurement,temperature,70,TRUE,
2019-04-22 11:05:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:10:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:15:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:18:40,e9916142-d9fd-4c26-9650-520220ab84b2,Kettle,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:18:40,e9916142-d9fd-4c26-9650-520220ab84b2,Kettle,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:20:07,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:25:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:30:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:35:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:40:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:45:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:50:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 11:55:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 12:00:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 12:05:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 12:10:08,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 12:15:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 12:18:40,e9916142-d9fd-4c26-9650-520220ab84b2,Kettle,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 12:18:40,e9916142-d9fd-4c26-9650-520220ab84b2,Kettle,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 12:20:06,b62dc8ba-dff1-493c-b70a-267b4a2a7013,Square lamp 1,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,
2019-04-22 12:23:34,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,temperatureMeasurement,temperature,69,TRUE,Yes
